id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter
3105,57399,2022-12-13 17:30:00,57402,2022-12-13 19:00:00,BUY,1814.56,1805.9457142857143,1805.9457142857143,1831.7885714285715,0.1,-86.84285714285643,-861.4285714285643,-1.0,SL,2022Q4,2022,3,2022-12-13 17:30:00,2022Q4
3106,57405,2022-12-13 20:30:00,57452,2022-12-14 21:00:00,BUY,1813.7,1802.6996428571429,1802.6996428571429,1835.7007142857144,0.1,-110.70357142857183,-1100.0357142857183,-1.0,SL,2022Q4,2022,47,2022-12-13 20:30:00,2022Q4
3107,57453,2022-12-14 21:30:00,57454,2022-12-14 22:00:00,SELL,1802.39,1807.8092857142858,1807.8092857142858,1791.5514285714287,0.1,-54.89285714285707,-541.9285714285706,-1.0,SL,2022Q4,2022,1,2022-12-14 21:30:00,2022Q4
3108,57464,2022-12-15 04:00:00,57476,2022-12-15 10:00:00,SELL,1798.45,1784.7485714285715,1805.3007142857143,1784.7485714285715,0.1,136.31428571428552,1370.142857142855,1.969656311280834,TP,2022Q4,2022,12,2022-12-15 04:00:00,2022Q4
3109,57477,2022-12-15 10:30:00,57488,2022-12-15 16:00:00,SELL,1778.99,1784.7425,1784.7425,1767.4850000000001,0.1,-58.22500000000055,-575.2500000000055,-1.0,SL,2022Q4,2022,11,2022-12-15 10:30:00,2022Q4
3110,57493,2022-12-15 18:30:00,57511,2022-12-16 04:30:00,SELL,1776.39,1783.8953571428572,1783.8953571428572,1761.379285714286,0.1,-75.75357142857065,-750.5357142857065,-1.0,SL,2022Q4,2022,18,2022-12-15 18:30:00,2022Q4
3111,57522,2022-12-16 10:00:00,57526,2022-12-16 12:00:00,SELL,1777.22,1781.0096428571428,1781.0096428571428,1769.6407142857142,0.1,-38.59642857142781,-378.96428571427805,-1.0,SL,2022Q4,2022,4,2022-12-16 10:00:00,2022Q4
3112,57529,2022-12-16 13:30:00,57547,2022-12-16 22:30:00,BUY,1784.4,1793.9850000000001,1779.6075,1793.9850000000001,0.1,95.15000000000036,958.5000000000036,1.9568123393316195,TP,2022Q4,2022,18,2022-12-16 13:30:00,2022Q4
3113,57548,2022-12-16 23:00:00,57583,2022-12-19 17:30:00,BUY,1792.3,1786.7682142857143,1786.7682142857143,1803.3635714285715,0.1,-56.01785714285661,-553.1785714285661,-1.0,SL,2022Q4,2022,35,2022-12-16 23:00:00,2022Q4
3114,57584,2022-12-19 18:00:00,57587,2022-12-19 19:30:00,SELL,1786.06,1790.3757142857141,1790.3757142857141,1777.4285714285713,0.1,-43.85714285714194,-431.57142857141935,-1.0,SL,2022Q4,2022,3,2022-12-19 18:00:00,2022Q4
