cohort,view,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p90_signed_reversion_atr,worst5pct_mean_signed_reversion_atr,gap_closure_pct,median_cost_hurdle_atr,mean_to_median_cost_hurdle_ratio,quarter,positive_mean
H226-C3,QUARTER_2025Q1,24,0.4117534000134666,-0.12090499866417685,50.0,-2.9138679305256496,4.565553095803845,-5.338878220821044,83.33333333333334,0.07134767550887311,5.771083599805002,2025Q1,True
H226-C3,QUARTER_2025Q2,37,-0.0005588336211200297,-0.0294373058299231,48.64864864864865,-4.631653034643798,4.7255723762246085,-7.360700911091354,67.56756756756756,0.04134813941948982,-0.013515326903841733,2025Q2,False
H226-C3,QUARTER_2025Q3,29,0.6488591279746743,0.9543202591672334,62.06896551724138,-3.2122735322288163,4.014091852045712,-4.765060570029647,82.75862068965517,0.06116699091021143,10.607994905735202,2025Q3,True
H226-C3,QUARTER_2025Q4,32,-0.21192589240883686,0.011484715900854498,50.0,-2.893782037164624,2.710836772742621,-7.030702353581439,78.125,0.02782458928483942,-7.616496697915586,2025Q4,False
H226-C3,QUARTER_2026Q1,32,0.04825743539535232,-0.4453862332268561,43.75,-3.56482632363491,3.7775831572013265,-4.86503903034019,46.875,0.017323591710312516,2.785648392222571,2026Q1,True
H226-C3,QUARTER_2026Q2,30,0.9948902916658241,0.7321448569295587,60.0,-2.039362015613655,5.355597783231456,-3.7288321070579933,66.66666666666666,0.02508461883859632,39.66136771171668,2026Q2,True
H226-C4,QUARTER_2018Q2,20,0.3269166596769673,0.2643115230747798,65.0,-2.620974662999586,2.1150841099800592,-5.341320524000136,85.0,0.205781982986827,1.5886554057450921,2018Q2,True
H226-C4,QUARTER_2018Q3,30,-0.206893881440458,-0.18619570167744096,46.666666666666664,-2.920303723365321,1.7531203990426298,-4.4582260920519605,80.0,0.19347181975970085,-1.0693747631951147,2018Q3,False
H226-C4,QUARTER_2018Q4,28,-0.04202127104274748,0.14954262412371505,53.57142857142857,-2.5708790304012097,2.2790870328595103,-3.634151905314191,78.57142857142857,0.20661897682986535,-0.20337566126536732,2018Q4,False
H226-C4,QUARTER_2019Q1,22,0.14070756663109252,0.5540839346594832,54.54545454545454,-2.298865404885093,2.645874074396587,-4.980584297534076,86.36363636363636,0.23336390963979595,0.6029534166113294,2019Q1,True
