time,open,high,low,close,tick_volume,spread,real_volume,datetime_str
1560808800,1338.94,1340.05,1338.75,1339.93,636,24,0,2019-06-17 22:00:00
1560812400,1339.95,1340.05,1339.36,1339.52,354,24,0,2019-06-17 23:00:00
1560819600,1339.2,1340.21,1339.2,1339.2,377,24,0,2019-06-18 01:00:00
1560823200,1339.2,1340.1,1338.9,1339.59,460,24,0,2019-06-18 02:00:00
1560826800,1339.6,1340.22,1338.6,1339.54,1149,24,0,2019-06-18 03:00:00
1560830400,1339.54,1341.96,1338.54,1341.84,1421,24,0,2019-06-18 04:00:00
1560834000,1341.84,1341.98,1340.7,1341.11,1132,24,0,2019-06-18 05:00:00
1560837600,1341.1,1341.54,1340.42,1340.8,844,24,0,2019-06-18 06:00:00
1560841200,1340.8,1341.89,1340.69,1341.72,630,25,0,2019-06-18 07:00:00
1560844800,1341.72,1345.8,1341.69,1345.8,1557,24,0,2019-06-18 08:00:00
1560848400,1345.77,1347.92,1345.29,1346.06,2386,24,0,2019-06-18 09:00:00
1560852000,1346.06,1346.91,1344.44,1344.45,2317,24,0,2019-06-18 10:00:00
1560855600,1344.45,1346.76,1343.66,1345.52,3688,24,0,2019-06-18 11:00:00
1560859200,1345.5,1346.82,1343.9,1346.09,2303,24,0,2019-06-18 12:00:00
1560862800,1346.09,1348.04,1345.15,1347.44,1580,24,0,2019-06-18 13:00:00
1560866400,1347.46,1350.87,1346.2,1350.65,3204,24,0,2019-06-18 14:00:00
1560870000,1350.7,1354.52,1349.3,1351.61,4226,24,0,2019-06-18 15:00:00
1560873600,1351.61,1353.62,1340.63,1341.81,6363,23,0,2019-06-18 16:00:00
1560877200,1341.78,1346.15,1339.22,1345.84,6152,23,0,2019-06-18 17:00:00
1560880800,1345.9,1351.95,1344.34,1345.99,5694,23,0,2019-06-18 18:00:00
1560884400,1345.99,1348.3,1345.11,1347.86,3625,23,0,2019-06-18 19:00:00
1560888000,1347.81,1348.67,1345.28,1346.14,2498,24,0,2019-06-18 20:00:00
1560891600,1346.16,1346.97,1345.26,1346.49,1471,24,0,2019-06-18 21:00:00
1560895200,1346.51,1346.59,1345.7,1345.9,1184,24,0,2019-06-18 22:00:00
1560898800,1345.9,1346.65,1345.9,1346.39,481,27,0,2019-06-18 23:00:00
1560906000,1345.91,1346.63,1345.55,1345.64,494,24,0,2019-06-19 01:00:00
1560909600,1345.64,1346.06,1344.46,1345.38,796,25,0,2019-06-19 02:00:00
1560913200,1345.37,1346.82,1344.8,1345.1,1628,25,0,2019-06-19 03:00:00
1560916800,1345.18,1346.38,1342.09,1343.12,2562,24,0,2019-06-19 04:00:00
1560920400,1343.11,1344.66,1342.51,1344.15,1594,24,0,2019-06-19 05:00:00
1560924000,1344.15,1345.45,1343.94,1344.19,1201,25,0,2019-06-19 06:00:00
1560927600,1344.18,1345.39,1344.18,1345.39,841,24,0,2019-06-19 07:00:00
1560931200,1345.4,1347.44,1345.05,1345.8,2108,24,0,2019-06-19 08:00:00
1560934800,1345.8,1346.44,1343.35,1345.55,2320,24,0,2019-06-19 09:00:00
1560938400,1345.55,1345.94,1342.75,1343.55,2348,24,0,2019-06-19 10:00:00
1560942000,1343.55,1343.91,1341.71,1341.84,2178,24,0,2019-06-19 11:00:00
1560945600,1341.81,1343.42,1341.72,1342.16,1736,24,0,2019-06-19 12:00:00
1560949200,1342.13,1343.34,1342.04,1343.04,1162,24,0,2019-06-19 13:00:00
1560952800,1343.03,1343.38,1341.26,1342.03,1429,24,0,2019-06-19 14:00:00
1560956400,1342.03,1345.41,1342.02,1343.09,3047,24,0,2019-06-19 15:00:00
1560960000,1343.09,1344.79,1342.42,1343.61,3470,24,0,2019-06-19 16:00:00
1560963600,1343.6,1345.92,1343.08,1343.98,3318,23,0,2019-06-19 17:00:00
1560967200,1343.98,1345.29,1343.7,1344.89,2340,24,0,2019-06-19 18:00:00
1560970800,1344.93,1346.6,1344.2,1345.91,1803,24,0,2019-06-19 19:00:00
1560974400,1345.91,1346.41,1344.5,1345.28,1915,24,0,2019-06-19 20:00:00
1560978000,1345.28,1355.99,1345.18,1351.99,8044,23,0,2019-06-19 21:00:00
1560981600,1352.09,1355.2,1350.39,1355.14,3786,24,0,2019-06-19 22:00:00
1560985200,1355.07,1362.49,1354.2,1360.18,2215,24,0,2019-06-19 23:00:00
1560992400,1360.06,1360.51,1358.43,1359.11,940,23,0,2019-06-20 01:00:00
1560996000,1359.11,1359.6,1357.61,1357.87,776,24,0,2019-06-20 02:00:00
1560999600,1357.9,1374.53,1357.86,1371.33,3112,24,0,2019-06-20 03:00:00
1561003200,1371.28,1393.79,1370.64,1377.35,5116,23,0,2019-06-20 04:00:00
1561006800,1377.3,1379.79,1377.02,1379.58,2537,24,0,2019-06-20 05:00:00
1561010400,1379.58,1382.68,1379.19,1380.67,2273,24,0,2019-06-20 06:00:00
1561014000,1380.67,1380.67,1378.1,1378.49,1391,25,0,2019-06-20 07:00:00
1561017600,1378.49,1383.61,1378.19,1382.45,2391,24,0,2019-06-20 08:00:00
1561021200,1382.44,1386.72,1379.82,1382.77,3663,24,0,2019-06-20 09:00:00
1561024800,1382.77,1384.09,1379.57,1381.82,3534,24,0,2019-06-20 10:00:00
1561028400,1381.82,1382.35,1377.73,1380.25,2940,23,0,2019-06-20 11:00:00
1561032000,1380.24,1383.21,1379.09,1383.01,2558,24,0,2019-06-20 12:00:00
1561035600,1383.1,1383.25,1379.58,1380.68,2077,24,0,2019-06-20 13:00:00
1561039200,1380.74,1382.46,1379.92,1381.11,2062,24,0,2019-06-20 14:00:00
1561042800,1381.17,1386.48,1379.48,1383.07,4217,23,0,2019-06-20 15:00:00
1561046400,1383.17,1384.88,1381.35,1382.0,4796,24,0,2019-06-20 16:00:00
1561050000,1381.97,1384.24,1379.54,1382.77,4298,23,0,2019-06-20 17:00:00
1561053600,1382.66,1386.02,1382.56,1385.29,3209,24,0,2019-06-20 18:00:00
1561057200,1385.29,1390.77,1384.82,1387.78,3499,23,0,2019-06-20 19:00:00
1561060800,1387.78,1393.24,1387.38,1390.09,2805,24,0,2019-06-20 20:00:00
1561064400,1390.09,1392.09,1388.1,1390.01,2545,23,0,2019-06-20 21:00:00
1561068000,1390.03,1390.57,1388.55,1389.35,1811,24,0,2019-06-20 22:00:00
1561071600,1389.36,1389.84,1386.54,1388.18,1383,24,0,2019-06-20 23:00:00
1561078800,1387.14,1389.62,1386.43,1388.78,773,24,0,2019-06-21 01:00:00
1561082400,1388.76,1391.04,1388.05,1390.74,1078,26,0,2019-06-21 02:00:00
1561086000,1390.73,1395.17,1390.42,1393.01,2620,24,0,2019-06-21 03:00:00
1561089600,1393.11,1404.43,1391.68,1404.41,3526,24,0,2019-06-21 04:00:00
1561093200,1404.42,1411.71,1402.86,1405.89,4962,23,0,2019-06-21 05:00:00
1561096800,1405.9,1407.25,1404.03,1404.81,2498,24,0,2019-06-21 06:00:00
1561100400,1404.81,1406.34,1403.19,1403.67,1947,23,0,2019-06-21 07:00:00
1561104000,1403.77,1405.84,1396.55,1397.03,2765,24,0,2019-06-21 08:00:00
1561107600,1397.05,1397.73,1390.17,1392.33,4200,23,0,2019-06-21 09:00:00
1561111200,1392.41,1393.73,1382.43,1384.28,5184,24,0,2019-06-21 10:00:00
1561114800,1384.34,1390.1,1383.24,1389.32,3614,25,0,2019-06-21 11:00:00
1561118400,1389.34,1389.42,1386.04,1388.78,2573,23,0,2019-06-21 12:00:00
1561122000,1388.79,1400.17,1387.51,1394.66,3757,23,0,2019-06-21 13:00:00
1561125600,1394.73,1397.88,1393.46,1395.05,3449,23,0,2019-06-21 14:00:00
